file_name,file_path,trait,study_accession,role,build,variant_identifier,chromosome,position,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,sample_size,full_summary_stats_candidate,status,notes,odds_ratio,effect_size_column,effect_size_type
GCST90161219_buildGRCh37.tsv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90161219_buildGRCh37.tsv,IGF1,GCST90161219_buildGRCh37,exposure,GRCh37,,chromosome,base_pair_location,effect_allele,other_allele,,,effect_allele_frequency,p_value,N,No,Not suitable for current pipeline,"Missing core fields: standard_error, effect_size",,,unknown
GCST90297291.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90297291.tsv.gz,IGF1,GCST90297291,exposure,Unknown,,chromosome,base_pair_location,,,beta,standard_error,,p_value,n,No,Not suitable for current pipeline,"Missing core fields: effect_allele, other_allele, effect_allele_frequency",,beta,beta
GCST90297335.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90297335.tsv.gz,IGF1,GCST90297335,exposure,Unknown,,chromosome,base_pair_location,,,beta,standard_error,,p_value,n,No,Not suitable for current pipeline,"Missing core fields: effect_allele, other_allele, effect_allele_frequency",,beta,beta
GCST90297511.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90297511.tsv.gz,IGF1,GCST90297511,exposure,Unknown,,chromosome,base_pair_location,,,beta,standard_error,,p_value,n,No,Not suitable for current pipeline,"Missing core fields: effect_allele, other_allele, effect_allele_frequency",,beta,beta
GCST90310168.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90310168.tsv.gz,IGF1,GCST90310168,exposure,Unknown,variant_id,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,,Yes,Suitable candidate,Core MR fields found; variant identifier present.,,beta,beta
GCST90319615.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90319615.tsv.gz,IGF1,GCST90319615,exposure,Unknown,,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,n,Yes,Needs adaptation,"Core MR fields found, but no obvious rsID/SNP-like identifier column.",,beta,beta
GCST90319643.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90319643.tsv.gz,IGF1,GCST90319643,exposure,Unknown,,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,n,Yes,Needs adaptation,"Core MR fields found, but no obvious rsID/SNP-like identifier column.",,beta,beta
GCST90335170.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90335170.tsv.gz,IGF1,GCST90335170,exposure,Unknown,,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,n,Yes,Needs adaptation,"Core MR fields found, but no obvious rsID/SNP-like identifier column.",,beta,beta
GCST90335171.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90335171.tsv.gz,IGF1,GCST90335171,exposure,Unknown,,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,n,Yes,Needs adaptation,"Core MR fields found, but no obvious rsID/SNP-like identifier column.",,beta,beta
GCST90012106_buildGRCh37.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/SHBG/GCST90012106_buildGRCh37.tsv.gz,SHBG,GCST90012106_buildGRCh37,exposure,GRCh37,variant_id,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,,Yes,Suitable candidate,Core MR fields found; variant identifier present.,,beta,beta
GCST90012107_buildGRCh37.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/SHBG/GCST90012107_buildGRCh37.tsv.gz,SHBG,GCST90012107_buildGRCh37,exposure,GRCh37,variant_id,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,,Yes,Suitable candidate,Core MR fields found; variant identifier present.,,beta,beta
GCST90012108_buildGRCh37.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/SHBG/GCST90012108_buildGRCh37.tsv.gz,SHBG,GCST90012108_buildGRCh37,exposure,GRCh37,variant_id,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,,Yes,Suitable candidate,Core MR fields found; variant identifier present.,,beta,beta
GCST90019518_buildGRCh37.tsv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/SHBG/GCST90019518_buildGRCh37.tsv,SHBG,GCST90019518_buildGRCh37,exposure,GRCh37,variant_id,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,,p_value,,No,Not suitable for current pipeline,Missing core fields: effect_allele_frequency,,beta,beta
GCST90079040_buildGRCh38.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/SHBG/GCST90079040_buildGRCh38.tsv.gz,SHBG,GCST90079040_buildGRCh38,exposure,GRCh38,,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,,Yes,Needs adaptation,"Core MR fields found, but no obvious rsID/SNP-like identifier column.",,beta,beta
GCST90083026_buildGRCh38.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/SHBG/GCST90083026_buildGRCh38.tsv.gz,SHBG,GCST90083026_buildGRCh38,exposure,GRCh38,,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,,Yes,Needs adaptation,"Core MR fields found, but no obvious rsID/SNP-like identifier column.",,beta,beta
GCST90297308.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/SHBG/GCST90297308.tsv.gz,SHBG,GCST90297308,exposure,Unknown,,chromosome,base_pair_location,,,beta,standard_error,,p_value,n,No,Not suitable for current pipeline,"Missing core fields: effect_allele, other_allele, effect_allele_frequency",,beta,beta
GCST90077633_buildGRCh38.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/outcome/endometrial_cancer/GCST90077633_buildGRCh38.tsv.gz,endometrial_cancer,GCST90077633_buildGRCh38,outcome,GRCh38,,chromosome,base_pair_location,effect_allele,other_allele,,standard_error,effect_allele_frequency,p_value,,Yes,Needs adaptation,Effect size is represented as odds_ratio. Beta should be derived using beta = log(odds_ratio) before MR analysis.,odds_ratio,odds_ratio,odds_ratio
GCST90079109_buildGRCh38.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/outcome/endometrial_cancer/GCST90079109_buildGRCh38.tsv.gz,endometrial_cancer,GCST90079109_buildGRCh38,outcome,GRCh38,,chromosome,base_pair_location,effect_allele,other_allele,,standard_error,effect_allele_frequency,p_value,,Yes,Needs adaptation,Effect size is represented as odds_ratio. Beta should be derived using beta = log(odds_ratio) before MR analysis.,odds_ratio,odds_ratio,odds_ratio
GCST90079607_buildGRCh38.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/outcome/endometrial_cancer/GCST90079607_buildGRCh38.tsv.gz,endometrial_cancer,GCST90079607_buildGRCh38,outcome,GRCh38,,chromosome,base_pair_location,effect_allele,other_allele,,standard_error,effect_allele_frequency,p_value,,Yes,Needs adaptation,Effect size is represented as odds_ratio. Beta should be derived using beta = log(odds_ratio) before MR analysis.,odds_ratio,odds_ratio,odds_ratio
GCST90083095_buildGRCh38.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/outcome/endometrial_cancer/GCST90083095_buildGRCh38.tsv.gz,endometrial_cancer,GCST90083095_buildGRCh38,outcome,GRCh38,,chromosome,base_pair_location,effect_allele,other_allele,,standard_error,effect_allele_frequency,p_value,,Yes,Needs adaptation,Effect size is represented as odds_ratio. Beta should be derived using beta = log(odds_ratio) before MR analysis.,odds_ratio,odds_ratio,odds_ratio
GCST90083593_buildGRCh38.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/outcome/endometrial_cancer/GCST90083593_buildGRCh38.tsv.gz,endometrial_cancer,GCST90083593_buildGRCh38,outcome,GRCh38,,chromosome,base_pair_location,effect_allele,other_allele,,standard_error,effect_allele_frequency,p_value,,Yes,Needs adaptation,Effect size is represented as odds_ratio. Beta should be derived using beta = log(odds_ratio) before MR analysis.,odds_ratio,odds_ratio,odds_ratio
